"GEO_ID","NAME","B01002_001E","B01002_001M","B01002_002E","B01002_002M","B01002_003E","B01002_003M"
"id","Geographic Area Name","Estimate!!Median age!!Total","Margin of Error!!Median age!!Total","Estimate!!Median age!!Male","Margin of Error!!Median age!!Male","Estimate!!Median age!!Female","Margin of Error!!Median age!!Female"
"0100000US","United States","37.7","0.1","36.3","0.1","39.0","0.1"
