"GEO_ID","NAME","B08014_001E","B08014_001M","B08014_002E","B08014_002M","B08014_003E","B08014_003M","B08014_004E","B08014_004M","B08014_005E","B08014_005M","B08014_006E","B08014_006M","B08014_007E","B08014_007M","B08014_008E","B08014_008M","B08014_009E","B08014_009M","B08014_010E","B08014_010M","B08014_011E","B08014_011M","B08014_012E","B08014_012M","B08014_013E","B08014_013M","B08014_014E","B08014_014M","B08014_015E","B08014_015M","B08014_016E","B08014_016M","B08014_017E","B08014_017M","B08014_018E","B08014_018M","B08014_019E","B08014_019M","B08014_020E","B08014_020M","B08014_021E","B08014_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!No vehicle available","Margin of Error!!Total!!No vehicle available","Estimate!!Total!!1 vehicle available","Margin of Error!!Total!!1 vehicle available","Estimate!!Total!!2 vehicles available","Margin of Error!!Total!!2 vehicles available","Estimate!!Total!!3 vehicles available","Margin of Error!!Total!!3 vehicles available","Estimate!!Total!!4 vehicles available","Margin of Error!!Total!!4 vehicles available","Estimate!!Total!!5 or more vehicles available","Margin of Error!!Total!!5 or more vehicles available","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!No vehicle available","Margin of Error!!Total!!Male!!No vehicle available","Estimate!!Total!!Male!!1 vehicle available","Margin of Error!!Total!!Male!!1 vehicle available","Estimate!!Total!!Male!!2 vehicles available","Margin of Error!!Total!!Male!!2 vehicles available","Estimate!!Total!!Male!!3 vehicles available","Margin of Error!!Total!!Male!!3 vehicles available","Estimate!!Total!!Male!!4 vehicles available","Margin of Error!!Total!!Male!!4 vehicles available","Estimate!!Total!!Male!!5 or more vehicles available","Margin of Error!!Total!!Male!!5 or more vehicles available","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!No vehicle available","Margin of Error!!Total!!Female!!No vehicle available","Estimate!!Total!!Female!!1 vehicle available","Margin of Error!!Total!!Female!!1 vehicle available","Estimate!!Total!!Female!!2 vehicles available","Margin of Error!!Total!!Female!!2 vehicles available","Estimate!!Total!!Female!!3 vehicles available","Margin of Error!!Total!!Female!!3 vehicles available","Estimate!!Total!!Female!!4 vehicles available","Margin of Error!!Total!!Female!!4 vehicles available","Estimate!!Total!!Female!!5 or more vehicles available","Margin of Error!!Total!!Female!!5 or more vehicles available"
"0100000US","United States","144456245","135930","6525137","48595","30822237","104145","59716162","150697","30008208","109975","12113067","88607","5271434","78026","76503294","93441","3328080","36494","14657983","59932","32485438","98193","16376194","68814","6660250","53768","2995349","48117","67952951","89067","3197057","27876","16164254","72479","27230724","76827","13632014","57289","5452817","44982","2276085","34171"
