"GEO_ID","NAME","C24030_001E","C24030_001M","C24030_002E","C24030_002M","C24030_003E","C24030_003M","C24030_004E","C24030_004M","C24030_005E","C24030_005M","C24030_006E","C24030_006M","C24030_007E","C24030_007M","C24030_008E","C24030_008M","C24030_009E","C24030_009M","C24030_010E","C24030_010M","C24030_011E","C24030_011M","C24030_012E","C24030_012M","C24030_013E","C24030_013M","C24030_014E","C24030_014M","C24030_015E","C24030_015M","C24030_016E","C24030_016M","C24030_017E","C24030_017M","C24030_018E","C24030_018M","C24030_019E","C24030_019M","C24030_020E","C24030_020M","C24030_021E","C24030_021M","C24030_022E","C24030_022M","C24030_023E","C24030_023M","C24030_024E","C24030_024M","C24030_025E","C24030_025M","C24030_026E","C24030_026M","C24030_027E","C24030_027M","C24030_028E","C24030_028M","C24030_029E","C24030_029M","C24030_030E","C24030_030M","C24030_031E","C24030_031M","C24030_032E","C24030_032M","C24030_033E","C24030_033M","C24030_034E","C24030_034M","C24030_035E","C24030_035M","C24030_036E","C24030_036M","C24030_037E","C24030_037M","C24030_038E","C24030_038M","C24030_039E","C24030_039M","C24030_040E","C24030_040M","C24030_041E","C24030_041M","C24030_042E","C24030_042M","C24030_043E","C24030_043M","C24030_044E","C24030_044M","C24030_045E","C24030_045M","C24030_046E","C24030_046M","C24030_047E","C24030_047M","C24030_048E","C24030_048M","C24030_049E","C24030_049M","C24030_050E","C24030_050M","C24030_051E","C24030_051M","C24030_052E","C24030_052M","C24030_053E","C24030_053M","C24030_054E","C24030_054M","C24030_055E","C24030_055M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Agriculture, forestry, fishing and hunting, and mining","Margin of Error!!Total!!Male!!Agriculture, forestry, fishing and hunting, and mining","Estimate!!Total!!Male!!Agriculture, forestry, fishing and hunting, and mining!!Agriculture, forestry, fishing and hunting","Margin of Error!!Total!!Male!!Agriculture, forestry, fishing and hunting, and mining!!Agriculture, forestry, fishing and hunting","Estimate!!Total!!Male!!Agriculture, forestry, fishing and hunting, and mining!!Mining, quarrying, and oil and gas extraction","Margin of Error!!Total!!Male!!Agriculture, forestry, fishing and hunting, and mining!!Mining, quarrying, and oil and gas extraction","Estimate!!Total!!Male!!Construction","Margin of Error!!Total!!Male!!Construction","Estimate!!Total!!Male!!Manufacturing","Margin of Error!!Total!!Male!!Manufacturing","Estimate!!Total!!Male!!Wholesale trade","Margin of Error!!Total!!Male!!Wholesale trade","Estimate!!Total!!Male!!Retail trade","Margin of Error!!Total!!Male!!Retail trade","Estimate!!Total!!Male!!Transportation and warehousing, and utilities","Margin of Error!!Total!!Male!!Transportation and warehousing, and utilities","Estimate!!Total!!Male!!Transportation and warehousing, and utilities!!Transportation and warehousing","Margin of Error!!Total!!Male!!Transportation and warehousing, and utilities!!Transportation and warehousing","Estimate!!Total!!Male!!Transportation and warehousing, and utilities!!Utilities","Margin of Error!!Total!!Male!!Transportation and warehousing, and utilities!!Utilities","Estimate!!Total!!Male!!Information","Margin of Error!!Total!!Male!!Information","Estimate!!Total!!Male!!Finance and insurance, and real estate and rental and leasing","Margin of Error!!Total!!Male!!Finance and insurance, and real estate and rental and leasing","Estimate!!Total!!Male!!Finance and insurance, and real estate and rental and leasing!!Finance and insurance","Margin of Error!!Total!!Male!!Finance and insurance, and real estate and rental and leasing!!Finance and insurance","Estimate!!Total!!Male!!Finance and insurance, and real estate and rental and leasing!!Real estate and rental and leasing","Margin of Error!!Total!!Male!!Finance and insurance, and real estate and rental and leasing!!Real estate and rental and leasing","Estimate!!Total!!Male!!Professional, scientific, and management, and administrative and waste management services","Margin of Error!!Total!!Male!!Professional, scientific, and management, and administrative and waste management services","Estimate!!Total!!Male!!Professional, scientific, and management, and administrative and waste management services!!Professional, scientific, and technical services","Margin of Error!!Total!!Male!!Professional, scientific, and management, and administrative and waste management services!!Professional, scientific, and technical services","Estimate!!Total!!Male!!Professional, scientific, and management, and administrative and waste management services!!Management of companies and enterprises","Margin of Error!!Total!!Male!!Professional, scientific, and management, and administrative and waste management services!!Management of companies and enterprises","Estimate!!Total!!Male!!Professional, scientific, and management, and administrative and waste management services!!Administrative and support and waste management services","Margin of Error!!Total!!Male!!Professional, scientific, and management, and administrative and waste management services!!Administrative and support and waste management services","Estimate!!Total!!Male!!Educational services, and health care and social assistance","Margin of Error!!Total!!Male!!Educational services, and health care and social assistance","Estimate!!Total!!Male!!Educational services, and health care and social assistance!!Educational services","Margin of Error!!Total!!Male!!Educational services, and health care and social assistance!!Educational services","Estimate!!Total!!Male!!Educational services, and health care and social assistance!!Health care and social assistance","Margin of Error!!Total!!Male!!Educational services, and health care and social assistance!!Health care and social assistance","Estimate!!Total!!Male!!Arts, entertainment, and recreation, and accommodation and food services","Margin of Error!!Total!!Male!!Arts, entertainment, and recreation, and accommodation and food services","Estimate!!Total!!Male!!Arts, entertainment, and recreation, and accommodation and food services!!Arts, entertainment, and recreation","Margin of Error!!Total!!Male!!Arts, entertainment, and recreation, and accommodation and food services!!Arts, entertainment, and recreation","Estimate!!Total!!Male!!Arts, entertainment, and recreation, and accommodation and food services!!Accommodation and food services","Margin of Error!!Total!!Male!!Arts, entertainment, and recreation, and accommodation and food services!!Accommodation and food services","Estimate!!Total!!Male!!Other services, except public administration","Margin of Error!!Total!!Male!!Other services, except public administration","Estimate!!Total!!Male!!Public administration","Margin of Error!!Total!!Male!!Public administration","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Agriculture, forestry, fishing and hunting, and mining","Margin of Error!!Total!!Female!!Agriculture, forestry, fishing and hunting, and mining","Estimate!!Total!!Female!!Agriculture, forestry, fishing and hunting, and mining!!Agriculture, forestry, fishing and hunting","Margin of Error!!Total!!Female!!Agriculture, forestry, fishing and hunting, and mining!!Agriculture, forestry, fishing and hunting","Estimate!!Total!!Female!!Agriculture, forestry, fishing and hunting, and mining!!Mining, quarrying, and oil and gas extraction","Margin of Error!!Total!!Female!!Agriculture, forestry, fishing and hunting, and mining!!Mining, quarrying, and oil and gas extraction","Estimate!!Total!!Female!!Construction","Margin of Error!!Total!!Female!!Construction","Estimate!!Total!!Female!!Manufacturing","Margin of Error!!Total!!Female!!Manufacturing","Estimate!!Total!!Female!!Wholesale trade","Margin of Error!!Total!!Female!!Wholesale trade","Estimate!!Total!!Female!!Retail trade","Margin of Error!!Total!!Female!!Retail trade","Estimate!!Total!!Female!!Transportation and warehousing, and utilities","Margin of Error!!Total!!Female!!Transportation and warehousing, and utilities","Estimate!!Total!!Female!!Transportation and warehousing, and utilities!!Transportation and warehousing","Margin of Error!!Total!!Female!!Transportation and warehousing, and utilities!!Transportation and warehousing","Estimate!!Total!!Female!!Transportation and warehousing, and utilities!!Utilities","Margin of Error!!Total!!Female!!Transportation and warehousing, and utilities!!Utilities","Estimate!!Total!!Female!!Information","Margin of Error!!Total!!Female!!Information","Estimate!!Total!!Female!!Finance and insurance, and real estate and rental and leasing","Margin of Error!!Total!!Female!!Finance and insurance, and real estate and rental and leasing","Estimate!!Total!!Female!!Finance and insurance, and real estate and rental and leasing!!Finance and insurance","Margin of Error!!Total!!Female!!Finance and insurance, and real estate and rental and leasing!!Finance and insurance","Estimate!!Total!!Female!!Finance and insurance, and real estate and rental and leasing!!Real estate and rental and leasing","Margin of Error!!Total!!Female!!Finance and insurance, and real estate and rental and leasing!!Real estate and rental and leasing","Estimate!!Total!!Female!!Professional, scientific, and management, and administrative and waste management services","Margin of Error!!Total!!Female!!Professional, scientific, and management, and administrative and waste management services","Estimate!!Total!!Female!!Professional, scientific, and management, and administrative and waste management services!!Professional, scientific, and technical services","Margin of Error!!Total!!Female!!Professional, scientific, and management, and administrative and waste management services!!Professional, scientific, and technical services","Estimate!!Total!!Female!!Professional, scientific, and management, and administrative and waste management services!!Management of companies and enterprises","Margin of Error!!Total!!Female!!Professional, scientific, and management, and administrative and waste management services!!Management of companies and enterprises","Estimate!!Total!!Female!!Professional, scientific, and management, and administrative and waste management services!!Administrative and support and waste management services","Margin of Error!!Total!!Female!!Professional, scientific, and management, and administrative and waste management services!!Administrative and support and waste management services","Estimate!!Total!!Female!!Educational services, and health care and social assistance","Margin of Error!!Total!!Female!!Educational services, and health care and social assistance","Estimate!!Total!!Female!!Educational services, and health care and social assistance!!Educational services","Margin of Error!!Total!!Female!!Educational services, and health care and social assistance!!Educational services","Estimate!!Total!!Female!!Educational services, and health care and social assistance!!Health care and social assistance","Margin of Error!!Total!!Female!!Educational services, and health care and social assistance!!Health care and social assistance","Estimate!!Total!!Female!!Arts, entertainment, and recreation, and accommodation and food services","Margin of Error!!Total!!Female!!Arts, entertainment, and recreation, and accommodation and food services","Estimate!!Total!!Female!!Arts, entertainment, and recreation, and accommodation and food services!!Arts, entertainment, and recreation","Margin of Error!!Total!!Female!!Arts, entertainment, and recreation, and accommodation and food services!!Arts, entertainment, and recreation","Estimate!!Total!!Female!!Arts, entertainment, and recreation, and accommodation and food services!!Accommodation and food services","Margin of Error!!Total!!Female!!Arts, entertainment, and recreation, and accommodation and food services!!Accommodation and food services","Estimate!!Total!!Female!!Other services, except public administration","Margin of Error!!Total!!Female!!Other services, except public administration","Estimate!!Total!!Female!!Public administration","Margin of Error!!Total!!Female!!Public administration"
"0100000US","United States","148019908","130708","77776139","94645","2404911","20768","1571063","18075","833848","14857","8456119","52635","10827920","50934","2848071","25720","8681124","49652","5580555","37698","4636040","31535","944515","15699","1902570","24676","4409110","33033","2891124","28474","1517986","20051","9554696","48992","5545067","35203","48695","3242","3960934","33079","8733653","56818","4288251","36153","4445402","42763","7079356","53997","1746105","24005","5333251","50164","3408833","28782","3889221","33202","70243769","85153","559007","13063","422197","11412","136810","6038","836707","15838","4388374","30885","1215397","18591","8384220","45536","1746591","21507","1463817","20164","282774","7621","1319590","15275","5205373","31133","3893172","26604","1312201","18764","6884051","41078","4354149","34010","53959","3610","2475943","24323","25358312","83027","9358638","52283","15999674","59503","7457597","49361","1509618","20952","5947979","46355","3880444","31139","3008106","26802"
