"GEO_ID","NAME","B25092_001E","B25092_001M","B25092_002E","B25092_002M","B25092_003E","B25092_003M"
"id","Geographic Area Name","Estimate!!Median selected monthly owner costs as a percentage of household income in the past 12 months!!Total","Margin of Error!!Median selected monthly owner costs as a percentage of household income in the past 12 months!!Total","Estimate!!Median selected monthly owner costs as a percentage of household income in the past 12 months!!Housing units with a mortgage","Margin of Error!!Median selected monthly owner costs as a percentage of household income in the past 12 months!!Housing units with a mortgage","Estimate!!Median selected monthly owner costs as a percentage of household income in the past 12 months!!Housing units without a mortgage","Margin of Error!!Median selected monthly owner costs as a percentage of household income in the past 12 months!!Housing units without a mortgage"
"0100000US","United States","19.0","0.1","22.5","0.1","12.0","0.1"
