"GEO_ID","NAME","B25048_001E","B25048_001M","B25048_002E","B25048_002M","B25048_003E","B25048_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Complete plumbing facilities","Margin of Error!!Total!!Complete plumbing facilities","Estimate!!Total!!Lacking complete plumbing facilities","Margin of Error!!Total!!Lacking complete plumbing facilities"
"0100000US","United States","117259427","146938","116779149","147376","480278","10984"
