"GEO_ID","NAME","B05004_001E","B05004_001M","B05004_002E","B05004_002M","B05004_003E","B05004_003M","B05004_004E","B05004_004M","B05004_005E","B05004_005M","B05004_006E","B05004_006M","B05004_007E","B05004_007M","B05004_008E","B05004_008M","B05004_009E","B05004_009M","B05004_010E","B05004_010M","B05004_011E","B05004_011M","B05004_012E","B05004_012M","B05004_013E","B05004_013M","B05004_014E","B05004_014M","B05004_015E","B05004_015M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Estimate!!Total!!Native!!Male","Margin of Error!!Total!!Native!!Male","Estimate!!Total!!Native!!Female","Margin of Error!!Total!!Native!!Female","Estimate!!Total!!Foreign born","Margin of Error!!Total!!Foreign born","Estimate!!Total!!Foreign born!!Male","Margin of Error!!Total!!Foreign born!!Male","Estimate!!Total!!Foreign born!!Female","Margin of Error!!Total!!Foreign born!!Female","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Male","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Male","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Female","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Female","Estimate!!Total!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Male","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Male","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Female","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Female"
"0100000US","United States","37.7","0.1","36.3","0.1","39.0","0.1","35.9","0.1","34.6","0.3","37.3","0.1","43.5","0.1","42.5","0.2","44.5","0.2","50.8","0.1","50.3","0.2","51.2","0.1","37.7","0.2","36.9","0.1","38.5","0.2"
