"GEO_ID","NAME","B25074_001E","B25074_001M","B25074_002E","B25074_002M","B25074_003E","B25074_003M","B25074_004E","B25074_004M","B25074_005E","B25074_005M","B25074_006E","B25074_006M","B25074_007E","B25074_007M","B25074_008E","B25074_008M","B25074_009E","B25074_009M","B25074_010E","B25074_010M","B25074_011E","B25074_011M","B25074_012E","B25074_012M","B25074_013E","B25074_013M","B25074_014E","B25074_014M","B25074_015E","B25074_015M","B25074_016E","B25074_016M","B25074_017E","B25074_017M","B25074_018E","B25074_018M","B25074_019E","B25074_019M","B25074_020E","B25074_020M","B25074_021E","B25074_021M","B25074_022E","B25074_022M","B25074_023E","B25074_023M","B25074_024E","B25074_024M","B25074_025E","B25074_025M","B25074_026E","B25074_026M","B25074_027E","B25074_027M","B25074_028E","B25074_028M","B25074_029E","B25074_029M","B25074_030E","B25074_030M","B25074_031E","B25074_031M","B25074_032E","B25074_032M","B25074_033E","B25074_033M","B25074_034E","B25074_034M","B25074_035E","B25074_035M","B25074_036E","B25074_036M","B25074_037E","B25074_037M","B25074_038E","B25074_038M","B25074_039E","B25074_039M","B25074_040E","B25074_040M","B25074_041E","B25074_041M","B25074_042E","B25074_042M","B25074_043E","B25074_043M","B25074_044E","B25074_044M","B25074_045E","B25074_045M","B25074_046E","B25074_046M","B25074_047E","B25074_047M","B25074_048E","B25074_048M","B25074_049E","B25074_049M","B25074_050E","B25074_050M","B25074_051E","B25074_051M","B25074_052E","B25074_052M","B25074_053E","B25074_053M","B25074_054E","B25074_054M","B25074_055E","B25074_055M","B25074_056E","B25074_056M","B25074_057E","B25074_057M","B25074_058E","B25074_058M","B25074_059E","B25074_059M","B25074_060E","B25074_060M","B25074_061E","B25074_061M","B25074_062E","B25074_062M","B25074_063E","B25074_063M","B25074_064E","B25074_064M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!Less than $10,000!!Less than 20.0 percent","Margin of Error!!Total!!Less than $10,000!!Less than 20.0 percent","Estimate!!Total!!Less than $10,000!!20.0 to 24.9 percent","Margin of Error!!Total!!Less than $10,000!!20.0 to 24.9 percent","Estimate!!Total!!Less than $10,000!!25.0 to 29.9 percent","Margin of Error!!Total!!Less than $10,000!!25.0 to 29.9 percent","Estimate!!Total!!Less than $10,000!!30.0 to 34.9 percent","Margin of Error!!Total!!Less than $10,000!!30.0 to 34.9 percent","Estimate!!Total!!Less than $10,000!!35.0 to 39.9 percent","Margin of Error!!Total!!Less than $10,000!!35.0 to 39.9 percent","Estimate!!Total!!Less than $10,000!!40.0 to 49.9 percent","Margin of Error!!Total!!Less than $10,000!!40.0 to 49.9 percent","Estimate!!Total!!Less than $10,000!!50.0 percent or more","Margin of Error!!Total!!Less than $10,000!!50.0 percent or more","Estimate!!Total!!Less than $10,000!!Not computed","Margin of Error!!Total!!Less than $10,000!!Not computed","Estimate!!Total!!$10,000 to $19,999","Margin of Error!!Total!!$10,000 to $19,999","Estimate!!Total!!$10,000 to $19,999!!Less than 20.0 percent","Margin of Error!!Total!!$10,000 to $19,999!!Less than 20.0 percent","Estimate!!Total!!$10,000 to $19,999!!20.0 to 24.9 percent","Margin of Error!!Total!!$10,000 to $19,999!!20.0 to 24.9 percent","Estimate!!Total!!$10,000 to $19,999!!25.0 to 29.9 percent","Margin of Error!!Total!!$10,000 to $19,999!!25.0 to 29.9 percent","Estimate!!Total!!$10,000 to $19,999!!30.0 to 34.9 percent","Margin of Error!!Total!!$10,000 to $19,999!!30.0 to 34.9 percent","Estimate!!Total!!$10,000 to $19,999!!35.0 to 39.9 percent","Margin of Error!!Total!!$10,000 to $19,999!!35.0 to 39.9 percent","Estimate!!Total!!$10,000 to $19,999!!40.0 to 49.9 percent","Margin of Error!!Total!!$10,000 to $19,999!!40.0 to 49.9 percent","Estimate!!Total!!$10,000 to $19,999!!50.0 percent or more","Margin of Error!!Total!!$10,000 to $19,999!!50.0 percent or more","Estimate!!Total!!$10,000 to $19,999!!Not computed","Margin of Error!!Total!!$10,000 to $19,999!!Not computed","Estimate!!Total!!$20,000 to $34,999","Margin of Error!!Total!!$20,000 to $34,999","Estimate!!Total!!$20,000 to $34,999!!Less than 20.0 percent","Margin of Error!!Total!!$20,000 to $34,999!!Less than 20.0 percent","Estimate!!Total!!$20,000 to $34,999!!20.0 to 24.9 percent","Margin of Error!!Total!!$20,000 to $34,999!!20.0 to 24.9 percent","Estimate!!Total!!$20,000 to $34,999!!25.0 to 29.9 percent","Margin of Error!!Total!!$20,000 to $34,999!!25.0 to 29.9 percent","Estimate!!Total!!$20,000 to $34,999!!30.0 to 34.9 percent","Margin of Error!!Total!!$20,000 to $34,999!!30.0 to 34.9 percent","Estimate!!Total!!$20,000 to $34,999!!35.0 to 39.9 percent","Margin of Error!!Total!!$20,000 to $34,999!!35.0 to 39.9 percent","Estimate!!Total!!$20,000 to $34,999!!40.0 to 49.9 percent","Margin of Error!!Total!!$20,000 to $34,999!!40.0 to 49.9 percent","Estimate!!Total!!$20,000 to $34,999!!50.0 percent or more","Margin of Error!!Total!!$20,000 to $34,999!!50.0 percent or more","Estimate!!Total!!$20,000 to $34,999!!Not computed","Margin of Error!!Total!!$20,000 to $34,999!!Not computed","Estimate!!Total!!$35,000 to $49,999","Margin of Error!!Total!!$35,000 to $49,999","Estimate!!Total!!$35,000 to $49,999!!Less than 20.0 percent","Margin of Error!!Total!!$35,000 to $49,999!!Less than 20.0 percent","Estimate!!Total!!$35,000 to $49,999!!20.0 to 24.9 percent","Margin of Error!!Total!!$35,000 to $49,999!!20.0 to 24.9 percent","Estimate!!Total!!$35,000 to $49,999!!25.0 to 29.9 percent","Margin of Error!!Total!!$35,000 to $49,999!!25.0 to 29.9 percent","Estimate!!Total!!$35,000 to $49,999!!30.0 to 34.9 percent","Margin of Error!!Total!!$35,000 to $49,999!!30.0 to 34.9 percent","Estimate!!Total!!$35,000 to $49,999!!35.0 to 39.9 percent","Margin of Error!!Total!!$35,000 to $49,999!!35.0 to 39.9 percent","Estimate!!Total!!$35,000 to $49,999!!40.0 to 49.9 percent","Margin of Error!!Total!!$35,000 to $49,999!!40.0 to 49.9 percent","Estimate!!Total!!$35,000 to $49,999!!50.0 percent or more","Margin of Error!!Total!!$35,000 to $49,999!!50.0 percent or more","Estimate!!Total!!$35,000 to $49,999!!Not computed","Margin of Error!!Total!!$35,000 to $49,999!!Not computed","Estimate!!Total!!$50,000 to $74,999","Margin of Error!!Total!!$50,000 to $74,999","Estimate!!Total!!$50,000 to $74,999!!Less than 20.0 percent","Margin of Error!!Total!!$50,000 to $74,999!!Less than 20.0 percent","Estimate!!Total!!$50,000 to $74,999!!20.0 to 24.9 percent","Margin of Error!!Total!!$50,000 to $74,999!!20.0 to 24.9 percent","Estimate!!Total!!$50,000 to $74,999!!25.0 to 29.9 percent","Margin of Error!!Total!!$50,000 to $74,999!!25.0 to 29.9 percent","Estimate!!Total!!$50,000 to $74,999!!30.0 to 34.9 percent","Margin of Error!!Total!!$50,000 to $74,999!!30.0 to 34.9 percent","Estimate!!Total!!$50,000 to $74,999!!35.0 to 39.9 percent","Margin of Error!!Total!!$50,000 to $74,999!!35.0 to 39.9 percent","Estimate!!Total!!$50,000 to $74,999!!40.0 to 49.9 percent","Margin of Error!!Total!!$50,000 to $74,999!!40.0 to 49.9 percent","Estimate!!Total!!$50,000 to $74,999!!50.0 percent or more","Margin of Error!!Total!!$50,000 to $74,999!!50.0 percent or more","Estimate!!Total!!$50,000 to $74,999!!Not computed","Margin of Error!!Total!!$50,000 to $74,999!!Not computed","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$75,000 to $99,999!!Less than 20.0 percent","Margin of Error!!Total!!$75,000 to $99,999!!Less than 20.0 percent","Estimate!!Total!!$75,000 to $99,999!!20.0 to 24.9 percent","Margin of Error!!Total!!$75,000 to $99,999!!20.0 to 24.9 percent","Estimate!!Total!!$75,000 to $99,999!!25.0 to 29.9 percent","Margin of Error!!Total!!$75,000 to $99,999!!25.0 to 29.9 percent","Estimate!!Total!!$75,000 to $99,999!!30.0 to 34.9 percent","Margin of Error!!Total!!$75,000 to $99,999!!30.0 to 34.9 percent","Estimate!!Total!!$75,000 to $99,999!!35.0 to 39.9 percent","Margin of Error!!Total!!$75,000 to $99,999!!35.0 to 39.9 percent","Estimate!!Total!!$75,000 to $99,999!!40.0 to 49.9 percent","Margin of Error!!Total!!$75,000 to $99,999!!40.0 to 49.9 percent","Estimate!!Total!!$75,000 to $99,999!!50.0 percent or more","Margin of Error!!Total!!$75,000 to $99,999!!50.0 percent or more","Estimate!!Total!!$75,000 to $99,999!!Not computed","Margin of Error!!Total!!$75,000 to $99,999!!Not computed","Estimate!!Total!!$100,000 or more","Margin of Error!!Total!!$100,000 or more","Estimate!!Total!!$100,000 or more!!Less than 20.0 percent","Margin of Error!!Total!!$100,000 or more!!Less than 20.0 percent","Estimate!!Total!!$100,000 or more!!20.0 to 24.9 percent","Margin of Error!!Total!!$100,000 or more!!20.0 to 24.9 percent","Estimate!!Total!!$100,000 or more!!25.0 to 29.9 percent","Margin of Error!!Total!!$100,000 or more!!25.0 to 29.9 percent","Estimate!!Total!!$100,000 or more!!30.0 to 34.9 percent","Margin of Error!!Total!!$100,000 or more!!30.0 to 34.9 percent","Estimate!!Total!!$100,000 or more!!35.0 to 39.9 percent","Margin of Error!!Total!!$100,000 or more!!35.0 to 39.9 percent","Estimate!!Total!!$100,000 or more!!40.0 to 49.9 percent","Margin of Error!!Total!!$100,000 or more!!40.0 to 49.9 percent","Estimate!!Total!!$100,000 or more!!50.0 percent or more","Margin of Error!!Total!!$100,000 or more!!50.0 percent or more","Estimate!!Total!!$100,000 or more!!Not computed","Margin of Error!!Total!!$100,000 or more!!Not computed"
"0100000US","United States","43267432","107258","5768552","36671","58676","4154","59366","3670","215362","6568","192824","7627","112994","4633","160353","6245","3520840","28118","1448137","21240","7209185","40840","216204","6836","216189","7820","418967","9616","419239","10257","392293","9508","902937","16185","4211291","30932","432065","10510","8906365","51646","480208","10704","639272","14250","1006045","14133","1231035","19913","1165996","17967","1705619","25494","2204029","26941","474161","12356","6574260","41284","1035153","13841","1259803","18186","1283758","17572","962933","20774","641387","15205","641327","12036","437122","11520","312777","8784","6930296","40039","2582163","25324","1610860","19967","1064458","20043","640903","13201","330586","9602","267046","8382","137258","5853","297022","8722","3516742","29125","2004396","21410","714718","16541","354162","10795","161212","7429","68996","4086","53406","4154","19717","2606","140135","5818","4362032","36706","3342146","32714","529405","13075","203753","7671","75969","5061","31170","2889","18478","2285","869","458","160242","6776"
