"GEO_ID","NAME","B25102_001E","B25102_001M","B25102_002E","B25102_002M","B25102_003E","B25102_003M","B25102_004E","B25102_004M","B25102_005E","B25102_005M","B25102_006E","B25102_006M","B25102_007E","B25102_007M","B25102_008E","B25102_008M","B25102_009E","B25102_009M","B25102_010E","B25102_010M","B25102_011E","B25102_011M","B25102_012E","B25102_012M","B25102_013E","B25102_013M","B25102_014E","B25102_014M","B25102_015E","B25102_015M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With a mortgage","Margin of Error!!Total!!With a mortgage","Estimate!!Total!!With a mortgage!!Less than $800","Margin of Error!!Total!!With a mortgage!!Less than $800","Estimate!!Total!!With a mortgage!!$800 to $1,499","Margin of Error!!Total!!With a mortgage!!$800 to $1,499","Estimate!!Total!!With a mortgage!!$1,500 to $1,999","Margin of Error!!Total!!With a mortgage!!$1,500 to $1,999","Estimate!!Total!!With a mortgage!!$2,000 to $2,999","Margin of Error!!Total!!With a mortgage!!$2,000 to $2,999","Estimate!!Total!!With a mortgage!!$3,000 or more","Margin of Error!!Total!!With a mortgage!!$3,000 or more","Estimate!!Total!!With a mortgage!!No real estate taxes paid","Margin of Error!!Total!!With a mortgage!!No real estate taxes paid","Estimate!!Total!!Not mortgaged","Margin of Error!!Total!!Not mortgaged","Estimate!!Total!!Not mortgaged!!Less than $800","Margin of Error!!Total!!Not mortgaged!!Less than $800","Estimate!!Total!!Not mortgaged!!$800 to $1,499","Margin of Error!!Total!!Not mortgaged!!$800 to $1,499","Estimate!!Total!!Not mortgaged!!$1,500 to $1,999","Margin of Error!!Total!!Not mortgaged!!$1,500 to $1,999","Estimate!!Total!!Not mortgaged!!$2,000 to $2,999","Margin of Error!!Total!!Not mortgaged!!$2,000 to $2,999","Estimate!!Total!!Not mortgaged!!$3,000 or more","Margin of Error!!Total!!Not mortgaged!!$3,000 or more","Estimate!!Total!!Not mortgaged!!No real estate taxes paid","Margin of Error!!Total!!Not mortgaged!!No real estate taxes paid"
"0100000US","United States","73991995","217875","47174889","136858","6234233","44098","8555493","48725","4822592","35846","7841378","43782","18473156","59124","1248037","15146","26817106","104591","6808128","42897","4880430","33976","2425339","19983","3545535","29982","7040555","33512","2117119","22522"
