"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied"
"0100000US","United States","117259427","146938","73991995","217875","43267432","107258"
