"GEO_ID","NAME","B24032_001E","B24032_001M","B24032_002E","B24032_002M","B24032_003E","B24032_003M","B24032_004E","B24032_004M","B24032_005E","B24032_005M","B24032_006E","B24032_006M","B24032_007E","B24032_007M","B24032_008E","B24032_008M","B24032_009E","B24032_009M","B24032_010E","B24032_010M","B24032_011E","B24032_011M","B24032_012E","B24032_012M","B24032_013E","B24032_013M","B24032_014E","B24032_014M","B24032_015E","B24032_015M","B24032_016E","B24032_016M","B24032_017E","B24032_017M","B24032_018E","B24032_018M","B24032_019E","B24032_019M","B24032_020E","B24032_020M","B24032_021E","B24032_021M","B24032_022E","B24032_022M","B24032_023E","B24032_023M","B24032_024E","B24032_024M","B24032_025E","B24032_025M","B24032_026E","B24032_026M","B24032_027E","B24032_027M","B24032_028E","B24032_028M","B24032_029E","B24032_029M","B24032_030E","B24032_030M","B24032_031E","B24032_031M","B24032_032E","B24032_032M","B24032_033E","B24032_033M","B24032_034E","B24032_034M","B24032_035E","B24032_035M","B24032_036E","B24032_036M","B24032_037E","B24032_037M","B24032_038E","B24032_038M","B24032_039E","B24032_039M","B24032_040E","B24032_040M","B24032_041E","B24032_041M","B24032_042E","B24032_042M","B24032_043E","B24032_043M","B24032_044E","B24032_044M","B24032_045E","B24032_045M","B24032_046E","B24032_046M","B24032_047E","B24032_047M","B24032_048E","B24032_048M","B24032_049E","B24032_049M","B24032_050E","B24032_050M","B24032_051E","B24032_051M","B24032_052E","B24032_052M","B24032_053E","B24032_053M","B24032_054E","B24032_054M"
"id","Geographic Area Name","Estimate!!Male","Margin of Error!!Male","Estimate!!Male!!Agriculture, forestry, fishing and hunting, and mining","Margin of Error!!Male!!Agriculture, forestry, fishing and hunting, and mining","Estimate!!Male!!Agriculture, forestry, fishing and hunting, and mining!!Agriculture, forestry, fishing and hunting","Margin of Error!!Male!!Agriculture, forestry, fishing and hunting, and mining!!Agriculture, forestry, fishing and hunting","Estimate!!Male!!Agriculture, forestry, fishing and hunting, and mining!!Mining, quarrying, and oil and gas extraction","Margin of Error!!Male!!Agriculture, forestry, fishing and hunting, and mining!!Mining, quarrying, and oil and gas extraction","Estimate!!Male!!Construction","Margin of Error!!Male!!Construction","Estimate!!Male!!Manufacturing","Margin of Error!!Male!!Manufacturing","Estimate!!Male!!Wholesale trade","Margin of Error!!Male!!Wholesale trade","Estimate!!Male!!Retail trade","Margin of Error!!Male!!Retail trade","Estimate!!Male!!Transportation and warehousing, and utilities","Margin of Error!!Male!!Transportation and warehousing, and utilities","Estimate!!Male!!Transportation and warehousing, and utilities!!Transportation and warehousing","Margin of Error!!Male!!Transportation and warehousing, and utilities!!Transportation and warehousing","Estimate!!Male!!Transportation and warehousing, and utilities!!Utilities","Margin of Error!!Male!!Transportation and warehousing, and utilities!!Utilities","Estimate!!Male!!Information","Margin of Error!!Male!!Information","Estimate!!Male!!Finance and insurance, and real estate and rental and leasing","Margin of Error!!Male!!Finance and insurance, and real estate and rental and leasing","Estimate!!Male!!Finance and insurance, and real estate and rental and leasing!!Finance and insurance","Margin of Error!!Male!!Finance and insurance, and real estate and rental and leasing!!Finance and insurance","Estimate!!Male!!Finance and insurance, and real estate and rental and leasing!!Real estate and rental and leasing","Margin of Error!!Male!!Finance and insurance, and real estate and rental and leasing!!Real estate and rental and leasing","Estimate!!Male!!Professional, scientific, and management, and administrative and waste management services","Margin of Error!!Male!!Professional, scientific, and management, and administrative and waste management services","Estimate!!Male!!Professional, scientific, and management, and administrative and waste management services!!Professional, scientific, and technical services","Margin of Error!!Male!!Professional, scientific, and management, and administrative and waste management services!!Professional, scientific, and technical services","Estimate!!Male!!Professional, scientific, and management, and administrative and waste management services!!Management of companies and enterprises","Margin of Error!!Male!!Professional, scientific, and management, and administrative and waste management services!!Management of companies and enterprises","Estimate!!Male!!Professional, scientific, and management, and administrative and waste management services!!Administrative and support and waste management services","Margin of Error!!Male!!Professional, scientific, and management, and administrative and waste management services!!Administrative and support and waste management services","Estimate!!Male!!Educational services, and health care and social assistance","Margin of Error!!Male!!Educational services, and health care and social assistance","Estimate!!Male!!Educational services, and health care and social assistance!!Educational services","Margin of Error!!Male!!Educational services, and health care and social assistance!!Educational services","Estimate!!Male!!Educational services, and health care and social assistance!!Health care and social assistance","Margin of Error!!Male!!Educational services, and health care and social assistance!!Health care and social assistance","Estimate!!Male!!Arts, entertainment, and recreation, and accommodations and food services","Margin of Error!!Male!!Arts, entertainment, and recreation, and accommodations and food services","Estimate!!Male!!Arts, entertainment, and recreation, and accommodations and food services!!Arts, entertainment, and recreation","Margin of Error!!Male!!Arts, entertainment, and recreation, and accommodations and food services!!Arts, entertainment, and recreation","Estimate!!Male!!Arts, entertainment, and recreation, and accommodations and food services!!Accommodation and food services","Margin of Error!!Male!!Arts, entertainment, and recreation, and accommodations and food services!!Accommodation and food services","Estimate!!Male!!Other services except public administration","Margin of Error!!Male!!Other services except public administration","Estimate!!Male!!Public administration","Margin of Error!!Male!!Public administration","Estimate!!Female","Margin of Error!!Female","Estimate!!Female!!Agriculture, forestry, fishing and hunting, and mining","Margin of Error!!Female!!Agriculture, forestry, fishing and hunting, and mining","Estimate!!Female!!Agriculture, forestry, fishing and hunting, and mining!!Agriculture, forestry, fishing and hunting","Margin of Error!!Female!!Agriculture, forestry, fishing and hunting, and mining!!Agriculture, forestry, fishing and hunting","Estimate!!Female!!Agriculture, forestry, fishing and hunting, and mining!!Mining, quarrying, and oil and gas extraction","Margin of Error!!Female!!Agriculture, forestry, fishing and hunting, and mining!!Mining, quarrying, and oil and gas extraction","Estimate!!Female!!Construction","Margin of Error!!Female!!Construction","Estimate!!Female!!Manufacturing","Margin of Error!!Female!!Manufacturing","Estimate!!Female!!Wholesale trade","Margin of Error!!Female!!Wholesale trade","Estimate!!Female!!Retail trade","Margin of Error!!Female!!Retail trade","Estimate!!Female!!Transportation and warehousing, and utilities","Margin of Error!!Female!!Transportation and warehousing, and utilities","Estimate!!Female!!Transportation and warehousing, and utilities!!Transportation and warehousing","Margin of Error!!Female!!Transportation and warehousing, and utilities!!Transportation and warehousing","Estimate!!Female!!Transportation and warehousing, and utilities!!Utilities","Margin of Error!!Female!!Transportation and warehousing, and utilities!!Utilities","Estimate!!Female!!Information","Margin of Error!!Female!!Information","Estimate!!Female!!Finance and insurance, and real estate and rental and leasing","Margin of Error!!Female!!Finance and insurance, and real estate and rental and leasing","Estimate!!Female!!Finance and insurance, and real estate and rental and leasing!!Finance and insurance","Margin of Error!!Female!!Finance and insurance, and real estate and rental and leasing!!Finance and insurance","Estimate!!Female!!Finance and insurance, and real estate and rental and leasing!!Real estate and rental and leasing","Margin of Error!!Female!!Finance and insurance, and real estate and rental and leasing!!Real estate and rental and leasing","Estimate!!Female!!Professional, scientific, and management, and administrative and waste management services","Margin of Error!!Female!!Professional, scientific, and management, and administrative and waste management services","Estimate!!Female!!Professional, scientific, and management, and administrative and waste management services!!Professional, scientific, and technical services","Margin of Error!!Female!!Professional, scientific, and management, and administrative and waste management services!!Professional, scientific, and technical services","Estimate!!Female!!Professional, scientific, and management, and administrative and waste management services!!Management of companies and enterprises","Margin of Error!!Female!!Professional, scientific, and management, and administrative and waste management services!!Management of companies and enterprises","Estimate!!Female!!Professional, scientific, and management, and administrative and waste management services!!Administrative and support and waste management services","Margin of Error!!Female!!Professional, scientific, and management, and administrative and waste management services!!Administrative and support and waste management services","Estimate!!Female!!Educational services, and health care and social assistance","Margin of Error!!Female!!Educational services, and health care and social assistance","Estimate!!Female!!Educational services, and health care and social assistance!!Educational services","Margin of Error!!Female!!Educational services, and health care and social assistance!!Educational services","Estimate!!Female!!Educational services, and health care and social assistance!!Health care and social assistance","Margin of Error!!Female!!Educational services, and health care and social assistance!!Health care and social assistance","Estimate!!Female!!Arts, entertainment, and recreation, and accommodations and food services","Margin of Error!!Female!!Arts, entertainment, and recreation, and accommodations and food services","Estimate!!Female!!Arts, entertainment, and recreation, and accommodations and food services!!Arts, entertainment, and recreation","Margin of Error!!Female!!Arts, entertainment, and recreation, and accommodations and food services!!Arts, entertainment, and recreation","Estimate!!Female!!Arts, entertainment, and recreation, and accommodations and food services!!Accommodation and food services","Margin of Error!!Female!!Arts, entertainment, and recreation, and accommodations and food services!!Accommodation and food services","Estimate!!Female!!Other services except public administration","Margin of Error!!Female!!Other services except public administration","Estimate!!Female!!Public administration","Margin of Error!!Female!!Public administration"
"0100000US","United States","40110","49","36285","384","26337","270","65850","934","35642","150","46524","189","45374","350","26108","132","45812","267","41709","195","66849","625","56948","538","59426","1145","71988","464","40025","496","49066","524","74803","669","75881","4260","25636","177","43727","399","42078","187","45912","361","18461","222","24163","701","17094","146","30697","172","58349","577","28170","97","20529","490","15649","371","52168","1261","32014","304","32860","342","34786","676","17412","104","35254","394","31695","265","50739","680","39474","746","40233","162","41506","169","33080","1035","34012","439","43975","516","47276","2418","21019","179","31798","70","35063","186","31030","72","13189","131","17300","306","12489","99","17470","199","43275","507"
