"GEO_ID","NAME","B21002_001E","B21002_001M","B21002_002E","B21002_002M","B21002_003E","B21002_003M","B21002_004E","B21002_004M","B21002_005E","B21002_005M","B21002_006E","B21002_006M","B21002_007E","B21002_007M","B21002_008E","B21002_008M","B21002_009E","B21002_009M","B21002_010E","B21002_010M","B21002_011E","B21002_011M","B21002_012E","B21002_012M","B21002_013E","B21002_013M","B21002_014E","B21002_014M","B21002_015E","B21002_015M","B21002_016E","B21002_016M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Gulf War (9/2001 or later), no Gulf War (8/1990 to 8/2001), no Vietnam Era","Margin of Error!!Total!!Gulf War (9/2001 or later), no Gulf War (8/1990 to 8/2001), no Vietnam Era","Estimate!!Total!!Gulf War (9/2001 or later) and Gulf War (8/1990 to 8/2001), no Vietnam Era","Margin of Error!!Total!!Gulf War (9/2001 or later) and Gulf War (8/1990 to 8/2001), no Vietnam Era","Estimate!!Total!!Gulf War (9/2001 or later), and Gulf War (8/1990 to 8/2001), and Vietnam Era","Margin of Error!!Total!!Gulf War (9/2001 or later), and Gulf War (8/1990 to 8/2001), and Vietnam Era","Estimate!!Total!!Gulf War (8/1990 to 8/2001), no Vietnam Era","Margin of Error!!Total!!Gulf War (8/1990 to 8/2001), no Vietnam Era","Estimate!!Total!!Gulf War (8/1990 to 8/2001) and Vietnam Era","Margin of Error!!Total!!Gulf War (8/1990 to 8/2001) and Vietnam Era","Estimate!!Total!!Vietnam Era, no Korean War, no World War II","Margin of Error!!Total!!Vietnam Era, no Korean War, no World War II","Estimate!!Total!!Vietnam Era and Korean War, no World War II","Margin of Error!!Total!!Vietnam Era and Korean War, no World War II","Estimate!!Total!!Vietnam Era and Korean War and World War II","Margin of Error!!Total!!Vietnam Era and Korean War and World War II","Estimate!!Total!!Korean War, no Vietnam Era, no World War II","Margin of Error!!Total!!Korean War, no Vietnam Era, no World War II","Estimate!!Total!!Korean War and World War II, no Vietnam Era","Margin of Error!!Total!!Korean War and World War II, no Vietnam Era","Estimate!!Total!!World War II, no Korean War, no Vietnam Era","Margin of Error!!Total!!World War II, no Korean War, no Vietnam Era","Estimate!!Total!!Between Gulf War and Vietnam Era only","Margin of Error!!Total!!Between Gulf War and Vietnam Era only","Estimate!!Total!!Between Vietnam Era and Korean War only","Margin of Error!!Total!!Between Vietnam Era and Korean War only","Estimate!!Total!!Between Korean War and World War II only","Margin of Error!!Total!!Between Korean War and World War II only","Estimate!!Total!!Pre-World War II only","Margin of Error!!Total!!Pre-World War II only"
"0100000US","United States","19259717","63735","1832500","24511","1059546","18722","62544","3941","2213467","23940","284985","8045","6407045","30174","161768","5717","36396","3166","1679200","15573","83558","4042","998377","13906","2593694","23206","1735300","19099","98501","4621","12836","1745"
