"GEO_ID","NAME","C25074_001E","C25074_001M","C25074_002E","C25074_002M","C25074_003E","C25074_003M","C25074_004E","C25074_004M","C25074_005E","C25074_005M","C25074_006E","C25074_006M","C25074_007E","C25074_007M","C25074_008E","C25074_008M","C25074_009E","C25074_009M","C25074_010E","C25074_010M","C25074_011E","C25074_011M","C25074_012E","C25074_012M","C25074_013E","C25074_013M","C25074_014E","C25074_014M","C25074_015E","C25074_015M","C25074_016E","C25074_016M","C25074_017E","C25074_017M","C25074_018E","C25074_018M","C25074_019E","C25074_019M","C25074_020E","C25074_020M","C25074_021E","C25074_021M","C25074_022E","C25074_022M","C25074_023E","C25074_023M","C25074_024E","C25074_024M","C25074_025E","C25074_025M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!Less than $10,000!!Less than 30.0 percent","Margin of Error!!Total!!Less than $10,000!!Less than 30.0 percent","Estimate!!Total!!Less than $10,000!!30.0 percent or more","Margin of Error!!Total!!Less than $10,000!!30.0 percent or more","Estimate!!Total!!Less than $10,000!!Not computed","Margin of Error!!Total!!Less than $10,000!!Not computed","Estimate!!Total!!$10,000 to $19,999","Margin of Error!!Total!!$10,000 to $19,999","Estimate!!Total!!$10,000 to $19,999!!Less than 30.0 percent","Margin of Error!!Total!!$10,000 to $19,999!!Less than 30.0 percent","Estimate!!Total!!$10,000 to $19,999!!30.0 percent or more","Margin of Error!!Total!!$10,000 to $19,999!!30.0 percent or more","Estimate!!Total!!$10,000 to $19,999!!Not computed","Margin of Error!!Total!!$10,000 to $19,999!!Not computed","Estimate!!Total!!$20,000 to $34,999","Margin of Error!!Total!!$20,000 to $34,999","Estimate!!Total!!$20,000 to $34,999!!Less than 30.0 percent","Margin of Error!!Total!!$20,000 to $34,999!!Less than 30.0 percent","Estimate!!Total!!$20,000 to $34,999!!30.0 percent or more","Margin of Error!!Total!!$20,000 to $34,999!!30.0 percent or more","Estimate!!Total!!$20,000 to $34,999!!Not computed","Margin of Error!!Total!!$20,000 to $34,999!!Not computed","Estimate!!Total!!$35,000 to $49,999","Margin of Error!!Total!!$35,000 to $49,999","Estimate!!Total!!$35,000 to $49,999!!Less than 30.0 percent","Margin of Error!!Total!!$35,000 to $49,999!!Less than 30.0 percent","Estimate!!Total!!$35,000 to $49,999!!30.0 percent or more","Margin of Error!!Total!!$35,000 to $49,999!!30.0 percent or more","Estimate!!Total!!$35,000 to $49,999!!Not computed","Margin of Error!!Total!!$35,000 to $49,999!!Not computed","Estimate!!Total!!$50,000 to $74,999","Margin of Error!!Total!!$50,000 to $74,999","Estimate!!Total!!$50,000 to $74,999!!Less than 30.0 percent","Margin of Error!!Total!!$50,000 to $74,999!!Less than 30.0 percent","Estimate!!Total!!$50,000 to $74,999!!30.0 percent or more","Margin of Error!!Total!!$50,000 to $74,999!!30.0 percent or more","Estimate!!Total!!$50,000 to $74,999!!Not computed","Margin of Error!!Total!!$50,000 to $74,999!!Not computed","Estimate!!Total!!$75,000 or more","Margin of Error!!Total!!$75,000 or more","Estimate!!Total!!$75,000 or more!!Less than 30.0 percent","Margin of Error!!Total!!$75,000 or more!!Less than 30.0 percent","Estimate!!Total!!$75,000 or more!!30.0 percent or more","Margin of Error!!Total!!$75,000 or more!!30.0 percent or more","Estimate!!Total!!$75,000 or more!!Not computed","Margin of Error!!Total!!$75,000 or more!!Not computed"
"0100000US","United States","43267432","107258","5768552","36671","333404","8585","3987011","27785","1448137","21240","7209185","40840","851360","14596","5925760","35774","432065","10510","8906365","51646","2125525","22467","6306679","43938","474161","12356","6574260","41284","3578714","28068","2682769","27830","312777","8784","6930296","40039","5257481","35792","1375793","18566","297022","8722","7878774","49193","7148580","44791","429817","10899","300377","9333"
