"GEO_ID","NAME","B25052_001E","B25052_001M","B25052_002E","B25052_002M","B25052_003E","B25052_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Complete kitchen facilities","Margin of Error!!Total!!Complete kitchen facilities","Estimate!!Total!!Lacking complete kitchen facilities","Margin of Error!!Total!!Lacking complete kitchen facilities"
"0100000US","United States","117259427","146938","116302415","149688","957012","13164"
