"GEO_ID","NAME","B19013H_001E","B19013H_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)"
"0100000US","United States","59622","116"
